We also need a wall between big pharmas fake vaccines and us!!! https://youtu.be/qmzWq6Ej6Os,15.555555555555555,Not Counterspeech,original post,no
And also how about you sleep with your house unlocked and unalarmed.,11.222222222222221,Not Counterspeech,And also how about you sleep with your house unlocked and unalarmed.,no
Christine M Terry   Ill Second that. !,15.333333333333334,Not Counterspeech,"Curtis Rice Sir, youre so clever, youve blown my mind...",no
Arturo Rosales I don't know if it does or not but I do know this is what you sound and look like when you stop your TDS treatments! https://youtu.be/wDYNVH0U3cs,10.333333333333334,Not Counterspeech,Do they also work for mass shootings????,no
Thank you sir for declaration of an emergency. You did the right thing. Fight fight sir.  Protect us all. Thank you..drain that swamp.,9.444444444444445,Negative tone,original post,yes
I feel your pain but trumps wall is wrong,36,Positive tone,original post,yes
God bless you Mr President! You the best!!!,7.777777777777778,Not Counterspeech,original post,no
Thank you President Trump,6,Affiliation,original post,yes
God bless President Donald Trump,12.833333333333334,Not Counterspeech,original post,no
,23.42695473251029,Not Counterspeech,original post,no
How sad. Bless you.,15.666666666666666,Facts/Logic,original post,yes
Kim Miller oh you must be ok with killing babies too,12.666666666666666,Not Counterspeech,Kim Miller fucktard,no
"Dante Noel   A liberal loon not supporting this ""POLICY!""  Perhaps you should have studied something that would have given you a career and at the same time taught you how to properly construct a sentence!   Perhaps you could move to the Hague and sit on the UN's International Court of Justice!!! You know, the Court that caters to dictatorships and terrorist regimes, while degrading and finding fault with  democracies, especially Israel and the United States!!!  I'm sure you'd fit right in!!!!",12.11111111111111,Not Counterspeech,"Hal Eric mitlitski, you are literally too dumb to insult.",no
Antonio Acquarelli end running Congress is true overreach.  Take off your MAGAt hat and give your brain some oxygen.,19.555555555555557,Not Counterspeech,"""The only national emergency is that our president is an idiot""  Ann Coulter",no
Tragically they don't seem to care one bit.,9.666666666666666,Negative tone,original post,yes
